entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,NEEL DAMAN KHATRI,parties.IN.UNK,,54622,37.95,1,won,U,43,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,VIRENDER,parties.IN.UNK,,31077,21.59,2,lost,U,38,Graduate,"Transport, Hospitality",challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,JASWANT SINGH,parties.IN.UNK,,26311,18.28,3,lost,U,60,12th Pass,MLA,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,BALJIT SINGH MANN,parties.IN.UNK,,24031,16.7,4,lost,U,60,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,RAM GOPAL SHARMA,parties.IN.UNK,,3426,2.38,5,forfeit,U,74,10th Pass,"Contractor, Private Company",challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,SANJEEV KUMAR RANA,parties.IN.UNK,,643,0.45,7,forfeit,U,44,10th Pass,Party Worker,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,AJAY MUDGIL,parties.IN.UNK,,633,0.44,8,forfeit,U,29,Post Graduate,Insurance Agent,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,MD YAKUB SIDAKI,parties.IN.UNK,,520,0.36,9,forfeit,U,46,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,AJIT SINGH,parties.IN.UNK,,481,0.33,10,forfeit,U,48,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,ROHTASH,parties.IN.UNK,,338,0.23,11,forfeit,U,62,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,AJAY KUMAR,parties.IN.UNK,,285,0.2,12,forfeit,U,27,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,SATISH,parties.IN.UNK,,266,0.18,13,forfeit,U,26,12th Pass,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,PRAVESH,parties.IN.UNK,,210,0.15,14,forfeit,U,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci1,delhi,2013,1,NERELA,SHAMIM,parties.IN.UNK,,163,0.11,15,forfeit,U,65,Others,Real Estate or Builder or Developer or Construction,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,SANJEEV JHA,parties.IN.UNK,,60164,37.07,1,won,U,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,SHRI KRISHAN,parties.IN.UNK,,49813,30.69,2,lost,U,56,12th Pass,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,DEEPAK TYAGI,parties.IN.UNK,,31649,19.5,3,lost,U,43,Graduate,Trader,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,VINOD NAAGAR,parties.IN.UNK,,6462,3.98,4,forfeit,U,47,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,KAMAL SHARMA,parties.IN.UNK,,3664,2.26,5,forfeit,U,44,10th Pass,Real Estate or Builder or Developer or Construction,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,SURENDER ROUTELA,parties.IN.UNK,,2700,1.66,6,forfeit,U,44,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,JITENDER KUMAR,parties.IN.UNK,,2643,1.63,7,forfeit,U,65,Illiterate,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,AJIT KUMAR PANDEY,parties.IN.UNK,,557,0.34,9,forfeit,U,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,AADESH,parties.IN.UNK,,506,0.31,10,forfeit,U,33,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,GANESH PAL,parties.IN.UNK,,496,0.31,11,forfeit,U,56,12th Pass,Agricultural Business,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,NAFE SINGH RAJPUT,parties.IN.UNK,,369,0.23,12,forfeit,U,39,12th Pass,Accountant,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,VIJAY KUMAR,parties.IN.UNK,,351,0.22,13,forfeit,U,33,10th Pass,Hospitality,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,MANAGER CHAURASIYA,parties.IN.UNK,,325,0.2,14,forfeit,U,45,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,PAWAN KUMAR DUGGAL,parties.IN.UNK,,285,0.18,15,forfeit,U,52,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,RICHA MUNDRA,parties.IN.UNK,,243,0.15,16,forfeit,U,36,Post Graduate,Principal or Administrator,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,FAKIR CHAND,parties.IN.UNK,,230,0.14,17,forfeit,U,56,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,RAJBIR,parties.IN.UNK,,214,0.13,18,forfeit,U,32,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,MUNNA,parties.IN.UNK,,211,0.13,19,forfeit,U,42,Illiterate,Real Estate or Builder or Developer or Construction,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,PREM SHANKAR SHARMA,parties.IN.UNK,,190,0.12,20,forfeit,U,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,TOKIR AHMAD KHAN,parties.IN.UNK,,187,0.12,21,forfeit,U,61,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,GULAB SINGHAL,parties.IN.UNK,,172,0.11,22,forfeit,U,40,10th Pass,Managerial Position,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,DINESH KUMAR,parties.IN.UNK,,137,0.08,23,forfeit,U,30,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci2,delhi,2013,2,BURARI,DR RAMESH NARAYAN SINGH,parties.IN.UNK,,85,0.05,24,forfeit,U,56,Post Graduate,Home Teacher or Tuition,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,HARISH KHANNA,parties.IN.UNK,,39650,35.03,1,won,U,61,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,RAJNI ABBI,parties.IN.UNK,,36267,32.04,2,lost,U,51,Doctorate,District Council,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,SURINDER PAL SINGH,parties.IN.UNK,,32825,29,3,lost,U,53,12th Pass,MLA,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,PREM WADHWA,parties.IN.UNK,,1414,1.25,4,forfeit,U,56,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,BAJINDER SINGH,parties.IN.UNK,,637,0.56,6,forfeit,U,27,Post Graduate,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,CHAND MIYA,parties.IN.UNK,,575,0.51,7,forfeit,U,25,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,ANIL KUMAR,parties.IN.UNK,,349,0.31,8,forfeit,U,36,8th Pass,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,HARBILAS,parties.IN.UNK,,226,0.2,9,forfeit,U,63,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,VIRENDRA KUMAR,parties.IN.UNK,,179,0.16,10,forfeit,U,35,10th Pass,Taxi Driver,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,JAGANNATH,parties.IN.UNK,,173,0.15,11,forfeit,U,64,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,VIDYANAND BHAGAT,parties.IN.UNK,,70,0.06,12,forfeit,U,41,Post Graduate,Home Teacher or Tuition,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci3,delhi,2013,3,TIMARPUR,MOHD. YAMIN,parties.IN.UNK,,51,0.05,13,forfeit,U,41,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci4,delhi,2013,4,ADARSH NAGAR,RAM KISHAN SINGHAL,parties.IN.UNK,,36765,38.02,1,won,U,62,Graduate,Manufacturer,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci4,delhi,2013,4,ADARSH NAGAR,JAGDEEP RANA,parties.IN.UNK,,26842,27.76,2,lost,U,27,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci4,delhi,2013,4,ADARSH NAGAR,MANGAT RAM,parties.IN.UNK,,25467,26.34,3,lost,U,71,Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci4,delhi,2013,4,ADARSH NAGAR,ASHWANI AHUJA,parties.IN.UNK,,5640,5.83,4,forfeit,U,52,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci4,delhi,2013,4,ADARSH NAGAR,ARCHANA SINGH,parties.IN.UNK,,284,0.29,6,forfeit,U,33,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci4,delhi,2013,4,ADARSH NAGAR,BALRAM MANDAL,parties.IN.UNK,,259,0.27,7,forfeit,U,31,10th Pass,Agricultural Business,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci4,delhi,2013,4,ADARSH NAGAR,ANIL NAGPAL,parties.IN.UNK,,250,0.26,8,forfeit,U,47,Graduate,Accountant,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci4,delhi,2013,4,ADARSH NAGAR,DEEPAK KUMAR,parties.IN.UNK,,232,0.24,9,forfeit,U,35,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci4,delhi,2013,4,ADARSH NAGAR,KEDAR PRASAD,parties.IN.UNK,,195,0.2,10,forfeit,U,38,Others,Doctor,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,DEVENDER YADAV,parties.IN.UNK,,54372,44.6,1,won,U,41,12th Pass,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,VIJAY KUMAR BHAGAT,parties.IN.UNK,,31263,25.65,2,lost,U,48,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,MOHAN KRISHAN,parties.IN.UNK,,31098,25.51,3,lost,U,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,MUNAWWAR HASSAN,parties.IN.UNK,,2125,1.74,4,forfeit,U,38,Graduate,Accountant,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,MAHESH SAHU,parties.IN.UNK,,615,0.5,6,forfeit,U,55,8th Pass,Trader,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,MOHAN JHA,parties.IN.UNK,,418,0.34,7,forfeit,U,38,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,PUNEET MANDAL,parties.IN.UNK,,274,0.22,8,forfeit,U,36,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,RAJ KUMAR,parties.IN.UNK,,253,0.21,9,forfeit,U,44,Graduate,Sports,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,WAQAR KHAN,parties.IN.UNK,,204,0.17,10,forfeit,U,38,8th Pass,Textile,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,MANOJ KUMAR PANDEY,parties.IN.UNK,,190,0.16,11,forfeit,U,37,12th Pass,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci5,delhi,2013,5,BADLI,JAI PAL,parties.IN.UNK,,108,0.09,12,forfeit,U,40,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci6,delhi,2013,6,RITHALA,KULWANT RANA,parties.IN.UNK,,73961,51.3,1,won,U,42,12th Pass,MLA,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci6,delhi,2013,6,RITHALA,HARISH AWASTHI,parties.IN.UNK,,48135,33.39,2,lost,U,58,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci6,delhi,2013,6,RITHALA,INDERJEET SINGH,parties.IN.UNK,,18107,12.56,3,forfeit,U,45,Graduate,Manufacturer,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci6,delhi,2013,6,RITHALA,MUSADDI LAL SAINI,parties.IN.UNK,,1671,1.16,4,forfeit,U,71,8th Pass,Real Estate or Builder or Developer or Construction,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci6,delhi,2013,6,RITHALA,LEELAWATI DEVI,parties.IN.UNK,,385,0.27,6,forfeit,U,38,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci6,delhi,2013,6,RITHALA,VISHESH JAIN,parties.IN.UNK,,343,0.24,7,forfeit,U,28,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci6,delhi,2013,6,RITHALA,BHIM KUMAR GUPTA,parties.IN.UNK,,299,0.21,8,forfeit,U,34,10th Pass,Real Estate or Builder or Developer or Construction,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci6,delhi,2013,6,RITHALA,ASHOK KUMAR,parties.IN.UNK,,129,0.09,9,forfeit,U,40,Graduate Professional,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci6,delhi,2013,6,RITHALA,RAJENDER KUMAR,parties.IN.UNK,,127,0.09,10,forfeit,U,46,Post Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,GUGAN SINGH,parties.IN.UNK,,68407,41.1,1,won,U,65,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,MANOJ,parties.IN.UNK,,42768,25.69,2,lost,U,25,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,SURENDER KUMAR,parties.IN.UNK,,42054,25.26,3,lost,U,55,12th Pass,MLA,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,MANAK CHAND,parties.IN.UNK,,9017,5.42,4,forfeit,U,39,Others,"Industrialist, Distributors, Private Company, Unspecified",challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,SHER SINGH,parties.IN.UNK,,634,0.38,6,forfeit,U,47,10th Pass,Rent,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,KAVITA,parties.IN.UNK,,616,0.37,7,forfeit,U,35,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,AMOD PASWAN,parties.IN.UNK,,489,0.29,8,forfeit,U,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,PAWAN KUMAR,parties.IN.UNK,,336,0.2,9,forfeit,U,28,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,VIMAL VERMA,parties.IN.UNK,,330,0.2,10,forfeit,U,36,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,RAJESH,parties.IN.UNK,,308,0.19,11,forfeit,U,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci7,delhi,2013,7,BAWANA,DHARAM RAJ,parties.IN.UNK,,279,0.17,12,forfeit,U,39,5th Pass,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,RAMBIR SHOKEEN,parties.IN.UNK,,52564,34.27,1,won,U,34,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,AZAD SINGH,parties.IN.UNK,,45430,29.62,2,lost,U,61,Graduate,District Council,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,KRISHAN KUMAR,parties.IN.UNK,,23872,15.56,3,forfeit,U,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,NARESH KUMAR,parties.IN.UNK,,19157,12.49,4,forfeit,U,51,Doctorate,Lawyer,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,RAJ KUMAR PARIHAR,parties.IN.UNK,,2912,1.9,5,forfeit,U,38,10th Pass,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,GURCHARAN SINGH,parties.IN.UNK,,2830,1.84,6,forfeit,U,52,10th Pass,"Real Estate or Builder or Developer or Construction, Contractor",challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,VIJAY KUMAR GARG,parties.IN.UNK,,1397,0.91,7,forfeit,U,44,10th Pass,Shop Keeper,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,ALAM KHAN,parties.IN.UNK,,860,0.56,8,forfeit,U,28,12th Pass,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,KARAM CHAND LATHWAL,parties.IN.UNK,,709,0.46,10,forfeit,U,48,Graduate,Private Company,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,ARVIND KATARIA,parties.IN.UNK,,552,0.36,11,forfeit,U,43,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,JAGDISH,parties.IN.UNK,,528,0.34,12,forfeit,U,45,Others,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,SATYA NARAYAN,parties.IN.UNK,,454,0.3,13,forfeit,U,35,12th Pass,Real Estate or Builder or Developer or Construction,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,REETA,parties.IN.UNK,,301,0.2,14,forfeit,U,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,MUKESH SHARMA,parties.IN.UNK,,271,0.18,15,forfeit,U,38,Literate,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,GAURI SHANKAR,parties.IN.UNK,,260,0.17,16,forfeit,U,30,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,RENU BHARTI,parties.IN.UNK,,193,0.13,17,forfeit,U,33,12th Pass,Home Teacher or Tuition,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,MEENU,parties.IN.UNK,,193,0.13,18,forfeit,U,28,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci8,delhi,2013,8,MUNDKA,KAMAL GOYAL,parties.IN.UNK,,175,0.11,19,forfeit,U,34,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,ANIL JHA,parties.IN.UNK,,72283,52.15,1,won,U,38,Post Graduate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,RAJAN PRAKASH,parties.IN.UNK,,23757,17.14,2,lost,U,31,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,AMIT MALIK,parties.IN.UNK,,18515,13.36,3,forfeit,U,35,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,PUSHP RAJ,parties.IN.UNK,,16922,12.21,4,forfeit,U,45,Graduate,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,RAJKUMAR SHARMA,parties.IN.UNK,,1486,1.07,5,forfeit,U,46,10th Pass,Insurance Agent,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,DINESH KUMAR,parties.IN.UNK,,1022,0.74,6,forfeit,U,49,Graduate,Workshop or Small Manufacturer,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,D N BHAGAT,parties.IN.UNK,,944,0.68,7,forfeit,U,41,Graduate,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,H L GANDHI,parties.IN.UNK,,893,0.64,8,forfeit,U,37,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,ABINAV SANJAY PRAJAPATI,parties.IN.UNK,,670,0.48,9,forfeit,U,37,12th Pass,Unspecified,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,JAVED,parties.IN.UNK,,274,0.2,11,forfeit,U,46,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,RAM CHANDER,parties.IN.UNK,,230,0.17,12,forfeit,U,59,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,SHANKAR SHAH,parties.IN.UNK,,201,0.15,13,forfeit,U,52,8th Pass,Real Estate or Builder or Developer or Construction,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,MOHD. SHADAB,parties.IN.UNK,,184,0.13,14,forfeit,U,27,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,RAMRIT SHARMA,parties.IN.UNK,,173,0.12,15,forfeit,U,46,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,SHARWAN SINGH,parties.IN.UNK,,162,0.12,16,forfeit,U,54,5th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,BASANT MEHTA,parties.IN.UNK,,142,0.1,17,forfeit,U,33,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,NARESH CHANDER PAL,parties.IN.UNK,,134,0.1,18,forfeit,U,42,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci9,delhi,2013,9,KIRARI,JITENDER SINGH,parties.IN.UNK,,91,0.07,19,forfeit,U,28,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci10,delhi,2013,10,SULTANPUR MAJRA,JAI KISHAN,parties.IN.UNK,,31458,29.79,1,won,U,55,12th Pass,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci10,delhi,2013,10,SULTANPUR MAJRA,SANDEEP KUMAR,parties.IN.UNK,,30346,28.74,2,lost,U,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci10,delhi,2013,10,SULTANPUR MAJRA,MUKESH KUMAR AHLAWAT,parties.IN.UNK,,25424,24.08,3,lost,U,37,12th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci10,delhi,2013,10,SULTANPUR MAJRA,SUSHILA KUMARI,parties.IN.UNK,,15866,15.03,4,forfeit,U,36,10th Pass,District Council,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci10,delhi,2013,10,SULTANPUR MAJRA,AJAY RAJ,parties.IN.UNK,,643,0.61,6,forfeit,U,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci10,delhi,2013,10,SULTANPUR MAJRA,BABU SINGH @ DANGI,parties.IN.UNK,,361,0.34,7,forfeit,U,53,5th Pass,Self-employed,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci10,delhi,2013,10,SULTANPUR MAJRA,BHAGAT SINGH,parties.IN.UNK,,252,0.24,8,forfeit,U,54,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci11,delhi,2013,11,NANGLOI JAT,MANOJ KUMAR SHOKEEN,parties.IN.UNK,,57449,42.32,1,won,U,46,10th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci11,delhi,2013,11,NANGLOI JAT,DR. BIJENDER SINGH,parties.IN.UNK,,46434,34.2,2,lost,U,65,Doctorate,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci11,delhi,2013,11,NANGLOI JAT,NAVEEN MEHTA,parties.IN.UNK,,25743,18.96,3,lost,U,58,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci11,delhi,2013,11,NANGLOI JAT,MD. SALEEM SAIFY,parties.IN.UNK,,3299,2.43,4,forfeit,U,37,8th Pass,Real Estate or Builder or Developer or Construction,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci11,delhi,2013,11,NANGLOI JAT,LAL DASS,parties.IN.UNK,,564,0.42,6,forfeit,U,42,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci11,delhi,2013,11,NANGLOI JAT,NARESH KUMAR,parties.IN.UNK,,216,0.16,7,forfeit,U,37,8th Pass,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci11,delhi,2013,11,NANGLOI JAT,RATTAN GUPTA (ADVOCATE),parties.IN.UNK,,171,0.13,8,forfeit,U,37,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-delhi-eci11,delhi,2013,11,NANGLOI JAT,VED PRAKASH,parties.IN.UNK,,146,0.11,9,forfeit,U,47,8th Pass,Trader,challenger,src-1b7bc1c9d39a
