entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,SUBEDAR SINGH RAJOUDHA,,67599,38.95,1,won,M,66,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,PANKAJ UPADHYAY,,54121,31.19,2,lost,M,40,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,SONERAM KUSHWAH,,48285,27.82,3,lost,M,58,,,crossover,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,NOTA,,718,0.41,4,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,SANJAY,,533,0.31,5,forfeit,M,41,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,VINAY BHAIYA,,505,0.29,6,forfeit,M,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,RAMESHWAR SHAKY (RAMESH),,421,0.24,7,forfeit,M,58,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,ARJUN SiNGH SiKARWAR,,375,0.22,8,forfeit,M,37,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,RAJVEER DHAKAR,,233,0.13,9,forfeit,M,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,RAJNI SHAKYA,,150,0.09,10,forfeit,F,39,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,M.P.SINGH,,134,0.08,11,forfeit,M,33,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,DHEER SINGH ATAL,,128,0.07,12,forfeit,M,28,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,MUNBABAR KHAN,,116,0.07,13,forfeit,M,43,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,MUNSHILAL,,88,0.05,14,forfeit,M,40,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,DHARMENDRA SINGH SOLANKI,,76,0.04,15,forfeit,M,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2604,madhya-pradesh,2020,4,JAURA,AVDESH KUMAR,,58,0.03,16,forfeit,M,33,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,AJAB SINGH KUSHWAH,,86909,51.65,1,won,M,49,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,ADAL SINGH KANSANA,,75962,45.15,2,lost,M,60,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,RAHUL DANDOTIYA ALIUS SONU,,3468,2.06,3,forfeit,M,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,NOTA,,726,0.43,4,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,MAMTA,,411,0.24,5,forfeit,F,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,SATENDRASINGH,,324,0.19,6,forfeit,M,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,RANAJEETA SiNGH,,125,0.07,7,forfeit,M,38,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,SUNIL KUSHWAH,,123,0.07,8,forfeit,M,31,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,SHATRUGHAN Singh FOJi,,109,0.06,9,forfeit,M,52,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2608,madhya-pradesh,2020,5,SUMAOLI,CHARAN SINGH KUSHWAH,,93,0.06,10,forfeit,M,38,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,RAKESH MAVAI,,53301,35.67,1,won,M,46,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,RAGHURAJ SINGH KANSANA,,47550,31.82,2,lost,M,53,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,RAMPRAKASH RAJORIYA,,43084,28.83,3,lost,M,57,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,RAJEEV SHARMA,,945,0.63,4,forfeit,M,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,NOTA,,844,0.56,5,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,HUKAM CHAND BANSAL urf HUKKA,,690,0.46,6,forfeit,M,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,DHARMENDRA SIKARWAR   ( GUDDU),,600,0.4,7,forfeit,M,37,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,SHASHANK DANDOTIYA,,407,0.27,8,forfeit,M,26,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,KULDEEP SHARMA,,406,0.27,9,forfeit,M,50,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,SHOBHARAM KUSHWAH,,327,0.22,10,forfeit,M,72,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,MANOJ KUMAR SEMIL,,313,0.21,11,forfeit,M,35,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,RAMSUNDAR SHRIWAS,,309,0.21,12,forfeit,M,50,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,RAJESH KUSHWAH,,302,0.2,13,forfeit,M,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,MANISH SHARMA,,139,0.09,14,forfeit,M,33,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,GAURAV DIXIT,,122,0.08,15,forfeit,M,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2605,madhya-pradesh,2020,6,MORENA,DHARMENDRA SINGH,,110,0.07,16,forfeit,M,40,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,Ravindra Singh Tomar Bhidosa,,72445,54.74,1,won,M,46,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,Girraj Dandotiya,,45978,34.74,2,lost,M,48,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,RAJENDRA SINGH KANSANA(RANDHA),,10337,7.81,3,forfeit,M,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,NOTA,,846,0.64,4,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,ANAR SINGH TOMAR (BABA),,770,0.58,5,forfeit,M,58,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,SAURAV VYAS,,497,0.38,6,forfeit,M,28,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,Ravindra Singh Tomar,,314,0.24,7,forfeit,M,38,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,SARITA DEVI,,309,0.23,8,forfeit,F,40,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,Rajshree Sharma,,230,0.17,9,forfeit,F,46,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,JAYANT SINGH TOMAR,,173,0.13,10,forfeit,M,43,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,GIRRAJ PRASAD,,166,0.13,11,forfeit,M,27,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,MAHENDRA SINGH TOMAR 'DESH PREMI',,101,0.08,12,forfeit,M,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,KISHORI LAL,,86,0.06,13,forfeit,M,48,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2603,madhya-pradesh,2020,7,DIMANI,DHIRENDRA KUMAR SHARMA,,82,0.06,14,forfeit,M,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,Kamlesh Jatav,,51588,42.17,1,won,M,41,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,SATYAPRAKASH SAKHAWAR,,37696,30.82,2,lost,M,48,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,ABHINAV CHHARI (MONTY CHHARI),,19246,15.73,3,forfeit,M,30,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,BHANUPRATAP SINGH SAKHAWAR,,8029,6.56,4,forfeit,M,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,AMAR,,1725,1.41,5,forfeit,M,43,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,NOTA,,839,0.69,6,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,PATIRAM KORI,,791,0.65,7,forfeit,M,43,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,PRAMOD KUMAR KORi,,680,0.56,8,forfeit,M,31,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,RAHUL KUMAR,,336,0.27,9,forfeit,M,31,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,VINOD KUMAR,,311,0.25,10,forfeit,M,28,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,Dr. BACHARAM KAUSHAL,,230,0.19,11,forfeit,M,72,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,SATISH KHATIK,,204,0.17,12,forfeit,M,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,RAKESH NAT NAGAR,,200,0.16,13,forfeit,M,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,BANSI LAL JATAV,,172,0.14,14,forfeit,M,60,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,MATADeen,,143,0.12,15,forfeit,M,49,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2602,madhya-pradesh,2020,8,AMBAH,BHOOPENDRA SINGH INDOLIYA,,130,0.11,16,forfeit,M,30,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,O.P.S. BHADORIA,,73599,45.15,1,won,M,51,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,HEMANT SATYADEV KATARE,,61563,37.77,2,lost,M,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,YOGESH MEGHSINGH NARWARIYA,,22305,13.68,3,forfeit,M,25,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,AJAB SINGH KUSHWAHA,,733,0.45,4,forfeit,M,27,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,Ashok Singh Barua,,647,0.4,5,forfeit,M,39,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,Prashant Kumar,,327,0.2,6,forfeit,M,27,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,ASHOK TRIPATHI,,320,0.2,7,forfeit,M,57,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,ASHIK KHAN,,285,0.17,8,forfeit,M,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,RAHUL SINGH,,259,0.16,9,forfeit,M,25,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,RAJESH KUMAR,,241,0.15,10,forfeit,M,44,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,ARVIND PRAHLAD SINGH,,215,0.13,11,forfeit,M,37,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,ABHILAKH SINGH BAGHEL,,212,0.13,12,forfeit,M,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,OMHARI NARWARIYA,,203,0.12,13,forfeit,M,44,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,NOTA,,179,0.11,14,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,RAJENDRA SINGH,,135,0.08,15,forfeit,M,40,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,JASMANT SINGH BAGHEL,,134,0.08,16,forfeit,M,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,MAHESH SINGH,,131,0.08,17,forfeit,M,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,VISHWANATH SINGH,,122,0.07,18,forfeit,M,26,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,Bhanupratap Singh Gurjar,,115,0.07,19,forfeit,M,39,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,Upendra Singh,,100,0.06,20,forfeit,M,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,PURAN LAL,,98,0.06,21,forfeit,M,45,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,RAMHANSH,,86,0.05,22,forfeit,M,52,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,Rakesh Sagar,,82,0.05,23,forfeit,M,41,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,PRAKASH SINGH KUSHWAHA URF SURYAVANSHI (MAMA),,79,0.05,24,forfeit,M,55,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,SHAILENDRA SINGH BHADORIA,,78,0.05,25,forfeit,M,56,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,DEEPAK SINGH KUSHWAH ADVOCATE,,77,0.05,26,forfeit,M,49,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,SHYAMVEER SINGH,,77,0.05,27,forfeit,M,26,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,DHANIRAM KUSHWAHA,,71,0.04,28,forfeit,M,33,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,ACHHENDRA SINGH,,71,0.04,29,forfeit,M,29,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,KAPTAN SINGH,,66,0.04,30,forfeit,M,59,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,BRAJESH KUMAR,,65,0.04,31,forfeit,M,47,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,DHARMENDRA SINGH,,55,0.03,32,forfeit,M,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,PRADEEP SINGH,,52,0.03,33,forfeit,M,30,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,RAMESH,,50,0.03,34,forfeit,M,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,MADHO PRASAD TYAGI,,47,0.03,35,forfeit,M,61,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,RAMESH KUMAR,,41,0.03,36,forfeit,M,71,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,SHAILENDRA SINGH,,39,0.02,37,forfeit,M,39,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,SUNIL KANKAR,,26,0.02,38,forfeit,M,35,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2481,madhya-pradesh,2020,12,MEHGAON,SANJAY SINGH,,21,0.01,39,forfeit,M,33,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,MEVARAM JATAV,,63643,51.57,1,won,M,53,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,RANVIR JATAV,,51744,41.93,2,lost,M,36,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,Yashwant Patwari,,3614,2.93,3,forfeit,M,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,NOTA,,991,0.8,4,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,Hariom Nagar,,631,0.51,5,forfeit,M,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,Baijnath Mahor,,599,0.49,6,forfeit,M,63,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,VEERENDRA,,463,0.38,7,forfeit,M,34,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,SULTAN JATAV,,279,0.23,8,forfeit,M,26,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,SUNIL KUMAR SARAL,,243,0.2,9,forfeit,M,31,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,Vijaya Singh,,242,0.2,10,forfeit,M,65,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,LaL Singh,,212,0.17,11,forfeit,M,45,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,DINESH MUNNA KHATIK,,201,0.16,12,forfeit,M,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,PRYAG SINGH,,165,0.13,13,forfeit,M,32,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,Matadeen Jatav,,162,0.13,14,forfeit,M,74,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,BHAGVAN DAS KHATiK,,110,0.09,15,forfeit,M,65,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2479,madhya-pradesh,2020,13,GOHAD,BRAJ KISHOR,,109,0.09,16,forfeit,M,37,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,PRADHUMAN SINGH TOMAR,,96027,58.35,1,won,M,51,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,SUNIL SHARMA,,62904,38.23,2,lost,M,56,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,HARPAL MANJHI,,2562,1.56,3,forfeit,M,55,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,NOTA,,1700,1.03,4,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,SUNIL SHARMA,,421,0.26,5,forfeit,M,30,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,ROSHAN BEG,,338,0.21,6,forfeit,M,31,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,ANIL KUMAR,,199,0.12,7,forfeit,M,39,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,JITENDRA TRIPATHI,,139,0.08,8,forfeit,M,40,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,CHINA BEGAM,,136,0.08,9,forfeit,F,52,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2532,madhya-pradesh,2020,15,GWALIOR,DEVENDRA SINGH TOMAR,,133,0.08,10,forfeit,M,53,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,DR. SATISH SIKARWAR,,75342,49.69,1,won,M,50,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,MUNNALAL GOYAL (MUNNA BHAIYA),,66787,44.05,2,lost,M,63,,,incumbent,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,MAHESH BAGHEL,,5672,3.74,3,forfeit,M,36,,,crossover,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,NOTA,,1785,1.18,4,lost,U,,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,SUNIL  SHARMA,,674,0.44,5,forfeit,M,26,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,KESHKALI JATAV,,347,0.23,6,forfeit,F,48,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,MEENAKSHI JAIN,,235,0.15,7,forfeit,F,48,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,MAHENDRA KUMAR BAGHEL,,192,0.13,8,forfeit,M,49,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,MUKESH,,175,0.12,9,forfeit,M,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,HEMANT RAMPURE,,129,0.09,10,forfeit,M,36,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,NARESH KUMAR SINGH,,111,0.07,11,forfeit,M,43,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,BALMUKUND NAMDEV,,99,0.07,12,forfeit,M,42,,,challenger,src-1b7bc1c9d39a
IN-AC-2008-madhya-pradesh-2533,madhya-pradesh,2020,16,GWALIOR EAST,JAVED KHAN,,83,0.05,13,forfeit,M,29,,,challenger,src-1b7bc1c9d39a
