entity_id,year,period_label,period_seq,indicator_id,value_numeric,value_text,source_id,derivation
IN-S28-AC-1976-1,2002,AcGenFeb2002,2,ac-candidates-total,8.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-1,2007,AcGenFeb2007,2,ac-candidates-total,7.0,,src-48e68e28ee85,count
IN-S28-AC-1976-10,2002,AcGenFeb2002,2,ac-candidates-total,5.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-10,2007,AcGenFeb2007,2,ac-candidates-total,4.0,,src-48e68e28ee85,count
IN-S28-AC-1976-11,2002,AcGenFeb2002,2,ac-candidates-total,19.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-11,2007,AcGenFeb2007,2,ac-candidates-total,15.0,,src-48e68e28ee85,count
IN-S28-AC-1976-12,2002,AcGenFeb2002,2,ac-candidates-total,18.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-12,2007,AcGenFeb2007,2,ac-candidates-total,17.0,,src-48e68e28ee85,count
IN-S28-AC-1976-13,2002,AcGenFeb2002,2,ac-candidates-total,23.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-13,2007,AcGenFeb2007,2,ac-candidates-total,18.0,,src-48e68e28ee85,count
IN-S28-AC-1976-14,2002,AcGenFeb2002,2,ac-candidates-total,10.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-14,2007,AcGenFeb2007,2,ac-candidates-total,14.0,,src-48e68e28ee85,count
IN-S28-AC-1976-15,2002,AcGenFeb2002,2,ac-candidates-total,17.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-15,2007,AcGenFeb2007,2,ac-candidates-total,21.0,,src-48e68e28ee85,count
IN-S28-AC-1976-16,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-16,2007,AcGenFeb2007,2,ac-candidates-total,12.0,,src-48e68e28ee85,count
IN-S28-AC-1976-17,2002,AcGenFeb2002,2,ac-candidates-total,18.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-17,2007,AcGenFeb2007,2,ac-candidates-total,17.0,,src-48e68e28ee85,count
IN-S28-AC-1976-18,2002,AcGenFeb2002,2,ac-candidates-total,24.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-18,2007,AcGenFeb2007,2,ac-candidates-total,19.0,,src-48e68e28ee85,count
IN-S28-AC-1976-19,2002,AcGenFeb2002,2,ac-candidates-total,10.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-19,2007,AcGenFeb2007,2,ac-candidates-total,11.0,,src-48e68e28ee85,count
IN-S28-AC-1976-2,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-2,2007,AcGenFeb2007,2,ac-candidates-total,12.0,,src-48e68e28ee85,count
IN-S28-AC-1976-20,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-20,2007,AcGenFeb2007,2,ac-candidates-total,15.0,,src-48e68e28ee85,count
IN-S28-AC-1976-21,2002,AcGenFeb2002,2,ac-candidates-total,24.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-21,2007,AcGenFeb2007,2,ac-candidates-total,16.0,,src-48e68e28ee85,count
IN-S28-AC-1976-22,2002,AcGenFeb2002,2,ac-candidates-total,12.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-22,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-23,2002,AcGenFeb2002,2,ac-candidates-total,11.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-23,2007,AcGenFeb2007,2,ac-candidates-total,18.0,,src-48e68e28ee85,count
IN-S28-AC-1976-24,2002,AcGenFeb2002,2,ac-candidates-total,17.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-24,2007,AcGenFeb2007,2,ac-candidates-total,14.0,,src-48e68e28ee85,count
IN-S28-AC-1976-25,2002,AcGenFeb2002,2,ac-candidates-total,16.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-25,2007,AcGenFeb2007,2,ac-candidates-total,14.0,,src-48e68e28ee85,count
IN-S28-AC-1976-26,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-26,2007,AcGenFeb2007,2,ac-candidates-total,19.0,,src-48e68e28ee85,count
IN-S28-AC-1976-27,2002,AcGenFeb2002,2,ac-candidates-total,23.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-27,2007,AcGenFeb2007,2,ac-candidates-total,24.0,,src-48e68e28ee85,count
IN-S28-AC-1976-28,2002,AcGenFeb2002,2,ac-candidates-total,16.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-28,2007,AcGenFeb2007,2,ac-candidates-total,10.0,,src-48e68e28ee85,count
IN-S28-AC-1976-29,2002,AcGenFeb2002,2,ac-candidates-total,16.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-29,2007,AcGenFeb2007,2,ac-candidates-total,8.0,,src-48e68e28ee85,count
IN-S28-AC-1976-3,2002,AcGenFeb2002,2,ac-candidates-total,13.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-3,2007,AcGenFeb2007,2,ac-candidates-total,10.0,,src-48e68e28ee85,count
IN-S28-AC-1976-30,2002,AcGenFeb2002,2,ac-candidates-total,11.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-30,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-31,2002,AcGenFeb2002,2,ac-candidates-total,16.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-31,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-32,2002,AcGenFeb2002,2,ac-candidates-total,16.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-32,2007,AcGenFeb2007,2,ac-candidates-total,10.0,,src-48e68e28ee85,count
IN-S28-AC-1976-33,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-33,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-34,2002,AcGenFeb2002,2,ac-candidates-total,11.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-34,2007,AcGenFeb2007,2,ac-candidates-total,8.0,,src-48e68e28ee85,count
IN-S28-AC-1976-35,2002,AcGenFeb2002,2,ac-candidates-total,10.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-35,2007,AcGenFeb2007,2,ac-candidates-total,10.0,,src-48e68e28ee85,count
IN-S28-AC-1976-36,2002,AcGenFeb2002,2,ac-candidates-total,13.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-36,2007,AcGenFeb2007,2,ac-candidates-total,11.0,,src-48e68e28ee85,count
IN-S28-AC-1976-37,2002,AcGenFeb2002,2,ac-candidates-total,16.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-37,2007,AcGenFeb2007,2,ac-candidates-total,13.0,,src-48e68e28ee85,count
IN-S28-AC-1976-38,2002,AcGenFeb2002,2,ac-candidates-total,12.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-38,2007,AcGenFeb2007,2,ac-candidates-total,13.0,,src-48e68e28ee85,count
IN-S28-AC-1976-39,2002,AcGenFeb2002,2,ac-candidates-total,17.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-39,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-4,2002,AcGenFeb2002,2,ac-candidates-total,12.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-4,2007,AcGenFeb2007,2,ac-candidates-total,11.0,,src-48e68e28ee85,count
IN-S28-AC-1976-40,2002,AcGenFeb2002,2,ac-candidates-total,12.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-40,2007,AcGenFeb2007,2,ac-candidates-total,16.0,,src-48e68e28ee85,count
IN-S28-AC-1976-41,2002,AcGenFeb2002,2,ac-candidates-total,8.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-41,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-42,2002,AcGenFeb2002,2,ac-candidates-total,6.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-42,2007,AcGenFeb2007,2,ac-candidates-total,7.0,,src-48e68e28ee85,count
IN-S28-AC-1976-43,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-43,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-44,2002,AcGenFeb2002,2,ac-candidates-total,6.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-44,2007,AcGenFeb2007,2,ac-candidates-total,6.0,,src-48e68e28ee85,count
IN-S28-AC-1976-45,2002,AcGenFeb2002,2,ac-candidates-total,7.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-45,2007,AcGenFeb2007,2,ac-candidates-total,7.0,,src-48e68e28ee85,count
IN-S28-AC-1976-46,2002,AcGenFeb2002,2,ac-candidates-total,16.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-46,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-47,2002,AcGenFeb2002,2,ac-candidates-total,12.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-47,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-48,2002,AcGenFeb2002,2,ac-candidates-total,10.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-48,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-49,2002,AcGenFeb2002,2,ac-candidates-total,11.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-49,2007,AcGenFeb2007,2,ac-candidates-total,7.0,,src-48e68e28ee85,count
IN-S28-AC-1976-5,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-5,2007,AcGenFeb2007,2,ac-candidates-total,10.0,,src-48e68e28ee85,count
IN-S28-AC-1976-50,2002,AcGenFeb2002,2,ac-candidates-total,10.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-50,2007,AcGenFeb2007,2,ac-candidates-total,6.0,,src-48e68e28ee85,count
IN-S28-AC-1976-51,2002,AcGenFeb2002,2,ac-candidates-total,9.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-51,2007,AcGenFeb2007,2,ac-candidates-total,6.0,,src-48e68e28ee85,count
IN-S28-AC-1976-52,2002,AcGenFeb2002,2,ac-candidates-total,8.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-52,2007,AcGenFeb2007,2,ac-candidates-total,4.0,,src-48e68e28ee85,count
IN-S28-AC-1976-53,2002,AcGenFeb2002,2,ac-candidates-total,15.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-53,2007,AcGenFeb2007,2,ac-candidates-total,11.0,,src-48e68e28ee85,count
IN-S28-AC-1976-54,2002,AcGenFeb2002,2,ac-candidates-total,13.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-54,2007,AcGenFeb2007,2,ac-candidates-total,13.0,,src-48e68e28ee85,count
IN-S28-AC-1976-55,2002,AcGenFeb2002,2,ac-candidates-total,17.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-55,2007,AcGenFeb2007,2,ac-candidates-total,10.0,,src-48e68e28ee85,count
IN-S28-AC-1976-56,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-56,2007,AcGenFeb2007,2,ac-candidates-total,12.0,,src-48e68e28ee85,count
IN-S28-AC-1976-57,2002,AcGenFeb2002,2,ac-candidates-total,17.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-57,2007,AcGenFeb2007,2,ac-candidates-total,23.0,,src-48e68e28ee85,count
IN-S28-AC-1976-58,2002,AcGenFeb2002,2,ac-candidates-total,15.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-58,2007,AcGenFeb2007,2,ac-candidates-total,15.0,,src-48e68e28ee85,count
IN-S28-AC-1976-59,2002,AcGenFeb2002,2,ac-candidates-total,21.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-6,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-6,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-60,2002,AcGenFeb2002,2,ac-candidates-total,16.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-60,2007,AcGenFeb2007,2,ac-candidates-total,19.0,,src-48e68e28ee85,count
IN-S28-AC-1976-61,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-61,2007,AcGenFeb2007,2,ac-candidates-total,14.0,,src-48e68e28ee85,count
IN-S28-AC-1976-62,2002,AcGenFeb2002,2,ac-candidates-total,6.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-62,2007,AcGenFeb2007,2,ac-candidates-total,10.0,,src-48e68e28ee85,count
IN-S28-AC-1976-63,2002,AcGenFeb2002,2,ac-candidates-total,7.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-63,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-64,2002,AcGenFeb2002,2,ac-candidates-total,14.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-64,2007,AcGenFeb2007,2,ac-candidates-total,11.0,,src-48e68e28ee85,count
IN-S28-AC-1976-65,2002,AcGenFeb2002,2,ac-candidates-total,13.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-65,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-66,2002,AcGenFeb2002,2,ac-candidates-total,11.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-66,2007,AcGenFeb2007,2,ac-candidates-total,11.0,,src-48e68e28ee85,count
IN-S28-AC-1976-67,2002,AcGenFeb2002,2,ac-candidates-total,7.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-67,2007,AcGenFeb2007,2,ac-candidates-total,7.0,,src-48e68e28ee85,count
IN-S28-AC-1976-68,2002,AcGenFeb2002,2,ac-candidates-total,7.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-68,2007,AcGenFeb2007,2,ac-candidates-total,8.0,,src-48e68e28ee85,count
IN-S28-AC-1976-69,2002,AcGenFeb2002,2,ac-candidates-total,12.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-69,2007,AcGenFeb2007,2,ac-candidates-total,10.0,,src-48e68e28ee85,count
IN-S28-AC-1976-7,2002,AcGenFeb2002,2,ac-candidates-total,12.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-7,2007,AcGenFeb2007,2,ac-candidates-total,8.0,,src-48e68e28ee85,count
IN-S28-AC-1976-70,2002,AcGenFeb2002,2,ac-candidates-total,12.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-70,2007,AcGenFeb2007,2,ac-candidates-total,9.0,,src-48e68e28ee85,count
IN-S28-AC-1976-8,2002,AcGenFeb2002,2,ac-candidates-total,15.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-8,2007,AcGenFeb2007,2,ac-candidates-total,10.0,,src-48e68e28ee85,count
IN-S28-AC-1976-9,2002,AcGenFeb2002,2,ac-candidates-total,8.0,,src-8f2cc56878d2,count
IN-S28-AC-1976-9,2007,AcGenFeb2007,2,ac-candidates-total,7.0,,src-48e68e28ee85,count
IN-S28-AC-2008-1,2012,AcGenJan2012,3,ac-candidates-total,5.0,,src-90eb6961f25f,count
IN-S28-AC-2008-1,2017,AcGenFeb2017,2,ac-candidates-total,4.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-1,2022,AcGenFeb2022,2,ac-candidates-total,6.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-10,2012,AcGenJan2012,3,ac-candidates-total,12.0,,src-90eb6961f25f,count
IN-S28-AC-2008-10,2017,AcGenFeb2017,2,ac-candidates-total,14.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-10,2022,AcGenFeb2022,2,ac-candidates-total,5.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-11,2012,AcGenJan2012,3,ac-candidates-total,7.0,,src-90eb6961f25f,count
IN-S28-AC-2008-11,2017,AcGenFeb2017,2,ac-candidates-total,7.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-11,2022,AcGenFeb2022,2,ac-candidates-total,6.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-12,2012,AcGenJan2012,3,ac-candidates-total,6.0,,src-90eb6961f25f,count
IN-S28-AC-2008-12,2017,AcGenFeb2017,2,ac-candidates-total,9.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-12,2022,AcGenFeb2022,2,ac-candidates-total,6.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-13,2012,AcGenJan2012,3,ac-candidates-total,10.0,,src-90eb6961f25f,count
IN-S28-AC-2008-13,2017,AcGenFeb2017,2,ac-candidates-total,11.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-13,2022,AcGenFeb2022,2,ac-candidates-total,7.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-14,2012,AcGenJan2012,3,ac-candidates-total,13.0,,src-90eb6961f25f,count
IN-S28-AC-2008-14,2017,AcGenFeb2017,2,ac-candidates-total,8.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-14,2022,AcGenFeb2022,2,ac-candidates-total,7.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-15,2012,AcGenJan2012,3,ac-candidates-total,8.0,,src-90eb6961f25f,count
IN-S28-AC-2008-15,2017,AcGenFeb2017,2,ac-candidates-total,4.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-15,2022,AcGenFeb2022,2,ac-candidates-total,10.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-16,2012,AcGenJan2012,3,ac-candidates-total,18.0,,src-90eb6961f25f,count
IN-S28-AC-2008-16,2017,AcGenFeb2017,2,ac-candidates-total,12.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-16,2022,AcGenFeb2022,2,ac-candidates-total,10.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-17,2012,AcGenJan2012,3,ac-candidates-total,23.0,,src-90eb6961f25f,count
IN-S28-AC-2008-17,2017,AcGenFeb2017,2,ac-candidates-total,14.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-17,2022,AcGenFeb2022,2,ac-candidates-total,11.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-18,2012,AcGenJan2012,3,ac-candidates-total,18.0,,src-90eb6961f25f,count
IN-S28-AC-2008-18,2017,AcGenFeb2017,2,ac-candidates-total,19.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-18,2022,AcGenFeb2022,2,ac-candidates-total,19.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-19,2012,AcGenJan2012,3,ac-candidates-total,22.0,,src-90eb6961f25f,count
IN-S28-AC-2008-19,2017,AcGenFeb2017,2,ac-candidates-total,19.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-19,2022,AcGenFeb2022,2,ac-candidates-total,15.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-2,2012,AcGenJan2012,3,ac-candidates-total,7.0,,src-90eb6961f25f,count
IN-S28-AC-2008-2,2017,AcGenFeb2017,2,ac-candidates-total,8.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-2,2022,AcGenFeb2022,2,ac-candidates-total,8.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-20,2012,AcGenJan2012,3,ac-candidates-total,9.0,,src-90eb6961f25f,count
IN-S28-AC-2008-20,2017,AcGenFeb2017,2,ac-candidates-total,8.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-20,2022,AcGenFeb2022,2,ac-candidates-total,9.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-21,2012,AcGenJan2012,3,ac-candidates-total,14.0,,src-90eb6961f25f,count
IN-S28-AC-2008-21,2017,AcGenFeb2017,2,ac-candidates-total,12.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-21,2022,AcGenFeb2022,2,ac-candidates-total,12.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-22,2012,AcGenJan2012,3,ac-candidates-total,15.0,,src-90eb6961f25f,count
IN-S28-AC-2008-22,2017,AcGenFeb2017,2,ac-candidates-total,12.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-22,2022,AcGenFeb2022,2,ac-candidates-total,7.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-23,2012,AcGenJan2012,3,ac-candidates-total,20.0,,src-90eb6961f25f,count
IN-S28-AC-2008-23,2017,AcGenFeb2017,2,ac-candidates-total,11.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-23,2022,AcGenFeb2022,2,ac-candidates-total,12.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-24,2012,AcGenJan2012,3,ac-candidates-total,19.0,,src-90eb6961f25f,count
IN-S28-AC-2008-24,2017,AcGenFeb2017,2,ac-candidates-total,11.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-24,2022,AcGenFeb2022,2,ac-candidates-total,12.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-25,2012,AcGenJan2012,3,ac-candidates-total,17.0,,src-90eb6961f25f,count
IN-S28-AC-2008-25,2017,AcGenFeb2017,2,ac-candidates-total,9.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-25,2022,AcGenFeb2022,2,ac-candidates-total,9.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-26,2012,AcGenJan2012,3,ac-candidates-total,23.0,,src-90eb6961f25f,count
IN-S28-AC-2008-26,2017,AcGenFeb2017,2,ac-candidates-total,15.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-26,2022,AcGenFeb2022,2,ac-candidates-total,12.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-27,2012,AcGenJan2012,3,ac-candidates-total,12.0,,src-90eb6961f25f,count
IN-S28-AC-2008-27,2017,AcGenFeb2017,2,ac-candidates-total,7.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-27,2022,AcGenFeb2022,2,ac-candidates-total,8.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-28,2012,AcGenJan2012,3,ac-candidates-total,5.0,,src-90eb6961f25f,count
IN-S28-AC-2008-28,2017,AcGenFeb2017,2,ac-candidates-total,8.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-28,2022,AcGenFeb2022,2,ac-candidates-total,6.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-29,2012,AcGenJan2012,3,ac-candidates-total,12.0,,src-90eb6961f25f,count
IN-S28-AC-2008-29,2017,AcGenFeb2017,2,ac-candidates-total,10.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-29,2022,AcGenFeb2022,2,ac-candidates-total,11.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-3,2012,AcGenJan2012,3,ac-candidates-total,10.0,,src-90eb6961f25f,count
IN-S28-AC-2008-3,2017,AcGenFeb2017,2,ac-candidates-total,9.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-3,2022,AcGenFeb2022,2,ac-candidates-total,9.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-30,2012,AcGenJan2012,3,ac-candidates-total,16.0,,src-90eb6961f25f,count
IN-S28-AC-2008-30,2017,AcGenFeb2017,2,ac-candidates-total,11.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-30,2022,AcGenFeb2022,2,ac-candidates-total,10.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-31,2012,AcGenJan2012,3,ac-candidates-total,13.0,,src-90eb6961f25f,count
IN-S28-AC-2008-31,2017,AcGenFeb2017,2,ac-candidates-total,8.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-31,2022,AcGenFeb2022,2,ac-candidates-total,9.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-32,2012,AcGenJan2012,3,ac-candidates-total,13.0,,src-90eb6961f25f,count
IN-S28-AC-2008-32,2017,AcGenFeb2017,2,ac-candidates-total,13.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-32,2022,AcGenFeb2022,2,ac-candidates-total,10.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-33,2012,AcGenJan2012,3,ac-candidates-total,11.0,,src-90eb6961f25f,count
IN-S28-AC-2008-33,2017,AcGenFeb2017,2,ac-candidates-total,7.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-33,2022,AcGenFeb2022,2,ac-candidates-total,11.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-34,2012,AcGenJan2012,3,ac-candidates-total,15.0,,src-90eb6961f25f,count
IN-S28-AC-2008-34,2017,AcGenFeb2017,2,ac-candidates-total,10.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-34,2022,AcGenFeb2022,2,ac-candidates-total,11.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-35,2012,AcGenJan2012,3,ac-candidates-total,18.0,,src-90eb6961f25f,count
IN-S28-AC-2008-35,2017,AcGenFeb2017,2,ac-candidates-total,8.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-35,2022,AcGenFeb2022,2,ac-candidates-total,13.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-36,2012,AcGenJan2012,3,ac-candidates-total,12.0,,src-90eb6961f25f,count
IN-S28-AC-2008-36,2017,AcGenFeb2017,2,ac-candidates-total,8.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-36,2022,AcGenFeb2022,2,ac-candidates-total,5.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-37,2012,AcGenJan2012,3,ac-candidates-total,7.0,,src-90eb6961f25f,count
IN-S28-AC-2008-37,2017,AcGenFeb2017,2,ac-candidates-total,9.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-37,2022,AcGenFeb2022,2,ac-candidates-total,8.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-38,2012,AcGenJan2012,3,ac-candidates-total,8.0,,src-90eb6961f25f,count
IN-S28-AC-2008-38,2017,AcGenFeb2017,2,ac-candidates-total,6.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-38,2022,AcGenFeb2022,2,ac-candidates-total,7.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-39,2012,AcGenJan2012,3,ac-candidates-total,9.0,,src-90eb6961f25f,count
IN-S28-AC-2008-39,2017,AcGenFeb2017,2,ac-candidates-total,15.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-39,2022,AcGenFeb2022,2,ac-candidates-total,9.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-4,2012,AcGenJan2012,3,ac-candidates-total,9.0,,src-90eb6961f25f,count
IN-S28-AC-2008-4,2017,AcGenFeb2017,2,ac-candidates-total,9.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-4,2022,AcGenFeb2022,2,ac-candidates-total,11.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-40,2012,AcGenJan2012,3,ac-candidates-total,9.0,,src-90eb6961f25f,count
IN-S28-AC-2008-40,2017,AcGenFeb2017,2,ac-candidates-total,6.0,,src-7e54c96393b9,sum
IN-S28-AC-2008-40,2022,AcGenFeb2022,2,ac-candidates-total,7.0,,src-7310fa0f34b6,sum
IN-S28-AC-2008-41,2012,AcGenJan2012,3,ac-candidates-total,8.0,,src-90eb6961f25f,count
IN-S28-AC-2008-41,2017,AcGenFeb2017,2,ac-candidates-total,11.0,,src-7e54c96393b9,sum
