entity_id,state,election_year,constituency_no,constituency_name,candidate_name,party_id,party_short_raw,votes,vote_share_pct,position,result,sex,age,education,profession,candidate_type,source_id,processing_level,processing_note
IN-AC-1976-manipur-1,manipur,2007,1,KHUNDRAKPAM,Thokehom Lokeshwar Singh,parties.IN.INC,INC,9570,45.48,1,won,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-1,manipur,2007,1,KHUNDRAKPAM,Laishram Premchandra Singh,parties.IN.CPI,CPI,7402,35.18,2,lost,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-1,manipur,2007,1,KHUNDRAKPAM,Konsam Tomba Singh,parties.IN.NCP,NCP,3066,14.57,3,forfeit,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-1,manipur,2007,1,KHUNDRAKPAM,Lairenlakpam Lala Singh,parties.IN.BJP,BJP,448,2.13,4,forfeit,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-1,manipur,2007,1,KHUNDRAKPAM,Namoijam Singhajit,parties.IN.MPP,MPP,399,1.9,5,forfeit,U,,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-1,manipur,2007,1,KHUNDRAKPAM,Heikrujam Bimula Devi,parties.IN.SP,SP,157,0.75,6,forfeit,U,,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-2,manipur,2007,2,HEINGANG,NONGTHOMBAM BIREN,parties.IN.INC,INC,10697,45.66,1,won,U,46,Graduate,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-2,manipur,2007,2,HEINGANG,MUTUM BABITA DEVI,parties.IN.MPP,MPP,6674,28.49,2,lost,U,42,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-2,manipur,2007,2,HEINGANG,YANGLEM MANGI SINGH,parties.IN.MSCP,MSCP,5660,24.16,3,lost,U,50,Graduate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-2,manipur,2007,2,HEINGANG,WAKAMBAM THOIBA,parties.IN.RJD,RJD,163,0.7,4,forfeit,U,64,Doctorate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-2,manipur,2007,2,HEINGANG,L. BASANTAKUMAR,parties.IN.BJP,BJP,151,0.64,5,forfeit,U,62,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-2,manipur,2007,2,HEINGANG,LEIMAPOKPAM BISHAWAJIT MEETEI,parties.IN.AIFB,AIFB,80,0.34,6,forfeit,U,38,10th Pass,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-3,manipur,2007,3,KHURAI,DR. NGAIRANGBAM BIJOY SINGH,parties.IN.MPP,MPP,13326,50.39,1,won,U,60,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-3,manipur,2007,3,KHURAI,NINGTHOUJAM BIHARI SINGH,parties.IN.INC,INC,8118,30.7,2,lost,U,57,Graduate,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-3,manipur,2007,3,KHURAI,LAISHRAM SOTINKUMAR SINGH,parties.IN.CPI,CPI,4841,18.31,3,lost,U,55,Graduate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-3,manipur,2007,3,KHURAI,ATOMBA NGAIRANGBAMCHA @ TOMBA,parties.IN.SP,SP,159,0.6,4,forfeit,U,77,10th Pass,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-4,manipur,2007,4,KHETRIGAO,THANGJAM NANDAKISHOR SINGH,parties.IN.NCP,NCP,7470,29.3,1,won,U,50,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-4,manipur,2007,4,KHETRIGAO,MOHD. AMIN SHAH,parties.IN.INC,INC,7116,27.91,2,lost,U,32,12th Pass,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-4,manipur,2007,4,KHETRIGAO,ATHOKPAM LALA,parties.IN.CPI,CPI,5896,23.13,3,lost,U,62,12th Pass,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-4,manipur,2007,4,KHETRIGAO,VIVEK RAJ WANGKHEM,parties.IN.MPP,MPP,4723,18.53,4,lost,U,30,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-4,manipur,2007,4,KHETRIGAO,KSHETRIMAYUM BRAJAMANI SINGH,parties.IN.SP,SP,287,1.13,5,forfeit,U,63,Post Graduate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-5,manipur,2007,5,THONGJU,BIJOY KOIJAM,parties.IN.INC,INC,11941,50.37,1,won,U,47,12th Pass,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-5,manipur,2007,5,THONGJU,THOKCHOM AJIT,parties.IN.IND,IND,7167,30.23,2,lost,U,36,12th Pass,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-5,manipur,2007,5,THONGJU,DR. SAPAM DHANANJOY,parties.IN.SP,SP,4600,19.4,3,lost,U,53,Doctorate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-6,manipur,2007,6,KEIRAO,MD. ALAUDDIN KHAN,parties.IN.INC,INC,7648,35.64,1,won,U,48,Graduate,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-6,manipur,2007,6,KEIRAO,KARAM THAMARJIT SINGH,parties.IN.MSCP,MSCP,7646,35.63,2,lost,U,32,Post Graduate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-6,manipur,2007,6,KEIRAO,THONGRAM TONY MEITEI,parties.IN.JDS,JD(S),5350,24.93,3,lost,U,35,Graduate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-6,manipur,2007,6,KEIRAO,YENSEMBAM ANGOU,parties.IN.CPI,CPI,479,2.23,4,forfeit,U,60,12th Pass,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-6,manipur,2007,6,KEIRAO,HIDAM BIDUR,parties.IN.IND,IND,334,1.56,5,forfeit,U,46,12th Pass,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-7,manipur,2007,7,ANDRO,THOUNAOJAM SHYAMKUMAR,parties.IN.MPP,MPP,18388,74.73,1,won,U,35,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-7,manipur,2007,7,ANDRO,SALAM CHANDRA SINGH,parties.IN.INC,INC,5157,20.96,2,lost,U,66,12th Pass,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-7,manipur,2007,7,ANDRO,KEISHAM NINGTHEMJAO SINGH,parties.IN.RJD,RJD,581,2.36,3,forfeit,U,45,Graduate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-7,manipur,2007,7,ANDRO,DR. CHINGAKHAM ANGOU,parties.IN.CPI,CPI,257,1.04,4,forfeit,U,54,Post Graduate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-7,manipur,2007,7,ANDRO,MD. SYED AHMED,parties.IN.NCP,NCP,162,0.66,5,forfeit,U,55,Post Graduate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-7,manipur,2007,7,ANDRO,PHANJOUBAM CHANDRA SINGH,parties.IN.SP,SP,62,0.25,6,forfeit,U,42,Graduate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-8,manipur,2007,8,LAMLAI,PHEIROIJAM PARIJAT,parties.IN.CPI,CPI,7696,33.96,1,won,U,62,,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-8,manipur,2007,8,LAMLAI,KSHETRIMAYUM BIREN SINGH,parties.IN.INC,INC,7670,33.85,2,lost,U,48,12th Pass,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-8,manipur,2007,8,LAMLAI,KHONGBANTABAM IBOMCHA SINGH,parties.IN.NCP,NCP,7296,32.19,3,lost,U,52,Graduate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-9,manipur,2007,9,THANGMEIBAND,RADHABINOD KOIJAM,parties.IN.NCP,NCP,7073,35.13,1,won,U,63,Graduate Professional,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-9,manipur,2007,9,THANGMEIBAND,JYOTIN WAIKHOM,parties.IN.INC,INC,5945,29.53,2,lost,U,43,Graduate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-9,manipur,2007,9,THANGMEIBAND,MEINAM BHOROT SINGH,parties.IN.BJP,BJP,4367,21.69,3,lost,U,54,Post Graduate,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-9,manipur,2007,9,THANGMEIBAND,DR. CHINGTHAM CHANDRAMANI SINGH,parties.IN.MPP,MPP,2562,12.73,4,forfeit,U,60,,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-9,manipur,2007,9,THANGMEIBAND,SALAM NABACHANDRA SINGH,parties.IN.RJD,RJD,185,0.92,5,forfeit,U,55,Graduate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-10,manipur,2007,10,URIPOK,LAISHRAM NANDAKUMAR SINGH,parties.IN.INC,INC,7066,41.44,1,won,U,70,10th Pass,,incumbent,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-10,manipur,2007,10,URIPOK,P. ACHOU SINGH,parties.IN.MPP,MPP,6120,35.89,2,lost,U,66,,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-10,manipur,2007,10,URIPOK,DR. NANDO SINGH,parties.IN.RJD,RJD,2132,12.5,3,forfeit,U,52,Graduate Professional,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-10,manipur,2007,10,URIPOK,N. TOMBI RAJ,parties.IN.CPI,CPI,798,4.68,4,forfeit,U,56,Post Graduate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-10,manipur,2007,10,URIPOK,LAIMAYUM RAGHUMANI SHARMA,parties.IN.BJP,BJP,540,3.17,5,forfeit,U,70,Graduate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-10,manipur,2007,10,URIPOK,NINGTHOUKHONGJAM RADHAKANTA SINGH,parties.IN.NCP,NCP,255,1.5,6,forfeit,U,52,Graduate,,challenger,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-10,manipur,2007,10,URIPOK,NAMEIRAKPAM NODIACHAND SINGH,parties.IN.SAP,SAP,141,0.83,7,forfeit,U,67,Graduate,,crossover,src-1b7bc1c9d39a,minor,
IN-AC-1976-manipur-11,manipur,2007,11,SAGOLBAND,DR. KHWAIRAKPAM LOKEN SINGH,parties.IN.INC,INC,8792,51.23,1,won,U,44,Doctorate,,challenger,src-1b7bc1c9d39a,minor,
